  AA MM DD HH      Hm0   Tm02   Tp   DirM      Hm0_V  DirM_V Hm0_F1 Tm02_F1 DirM_F1 Hm0_F2 Tm02_F2 DirM_F2   VelV   DirV
2016 01 08 19      2.2   5.5   12.1 268.0    -99.9  -99.9      2.2    6.1 268.0     -99.9  -99.9  -99.9       9.5  221.0
2016 01 08 20      2.3   5.5    9.9 266.0    -99.9  -99.9      2.2    6.1 266.0     -99.9  -99.9  -99.9       9.7  220.0
2016 01 08 21      2.4   5.5    9.3 264.0      1.0  209.0      2.1    7.1 274.0     -99.9  -99.9  -99.9      10.3  215.0
2016 01 08 22      2.5   5.5    9.1 262.0      2.4  262.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      10.7  219.0
2016 01 08 23      2.6   5.5    9.1 260.0      1.2  209.0      2.2    7.2 273.0     -99.9  -99.9  -99.9      10.9  219.0
2016 01 13 00      1.4   5.2   11.3 273.0      0.3   52.0      1.2    7.8 269.0       0.4   12.9  294.0       7.3   54.0
2016 01 13 01      1.5   4.7   11.3 279.0      0.6   63.0      1.2    7.8 269.0       0.4   12.9  294.0       8.2   50.0
2016 01 13 02      1.5   4.9   11.2 283.0      0.7   66.0      1.2    7.8 269.0       0.4   12.8  294.0       8.9   48.0
2016 01 13 03      1.5   5.0   11.2 285.0      0.7   57.0      1.2    7.9 270.0       0.4   12.8  294.0       8.5   46.0
2016 01 13 04      1.4   4.8   11.2 286.0      0.7   63.0      1.1    7.9 270.0       0.4   12.8  294.0       9.0   55.0
2016 01 13 05      1.5   4.5   11.2 295.0      0.9   62.0      1.1    8.0 270.0       0.4   12.8  294.0       8.5   60.0
2016 01 13 06      1.5   4.5   11.1 303.0      0.9   62.0      1.1    8.0 271.0       0.4   12.8  294.0       8.2   61.0
2016 01 13 07      1.5   4.5   11.1 304.0      0.9   64.0      1.1    8.1 271.0       0.3   12.7  294.0       7.6   63.0
2016 01 13 08      1.4   4.6   11.1 299.0      0.9   66.0      1.1    8.1 271.0       0.3   12.7  294.0       7.4   67.0
2016 01 13 09      1.4   4.7   11.1 293.0      0.8   67.0      1.1    8.4 274.0     -99.9  -99.9  -99.9       7.2   69.0
2016 01 13 10      1.3   4.7   11.1 288.0      0.7   70.0      1.1    8.4 274.0     -99.9  -99.9  -99.9       6.9   85.0
2016 01 13 11      1.3   4.8   11.0 282.0      0.7   78.0      1.1    8.4 274.0     -99.9  -99.9  -99.9       6.4   92.0
2016 01 13 12      1.3   5.0   11.0 272.0      0.6   78.0      1.0    8.4 274.0       0.3    4.6  130.0       5.4   76.0
2016 01 13 13      1.3   5.1   11.0 251.0      0.4   67.0      1.0    8.4 274.0       0.7    4.9  135.0       5.2   77.0
2016 01 13 14      1.4   5.3   11.0 220.0      0.3   58.0      1.0    8.4 274.0       0.9    5.1  137.0       4.8   72.0
2016 01 13 15      1.5   5.4   10.9 199.0    -99.9  -99.9      1.1    4.9 133.0       1.0    8.4  274.0       3.7   71.0
2016 01 13 16      1.5   5.6   10.9 188.0    -99.9  -99.9      1.1    5.3 136.0       1.0    8.5  274.0       3.6   68.0
2016 01 13 17      1.5   5.6    6.6 183.0    -99.9  -99.9      1.0    4.9 132.0       1.0    8.5  274.0       3.1   94.0
2016 01 13 18      1.5   5.6    6.6 183.0    -99.9  -99.9      1.1    5.2 135.0       0.9    8.5  274.0       2.8   86.0
2016 01 13 19      1.4   5.6   10.8 184.0    -99.9  -99.9      1.1    5.1 134.0       0.9    8.5  274.0       4.3  113.0
2016 01 13 20      1.4   5.3   10.8 183.0      1.1  133.0      0.9    8.6 274.0     -99.9  -99.9  -99.9       7.3  114.0
2016 01 13 21      1.5   5.0   10.8 171.0      1.1  132.0      0.9    8.6 274.0     -99.9  -99.9  -99.9       7.8  117.0
2016 01 13 22      1.6   4.9    6.3 159.0      1.3  131.0      0.9    8.6 274.0     -99.9  -99.9  -99.9       8.0  119.0
2016 01 13 23      1.7   4.8    6.3 152.0      1.4  131.0      0.9    8.7 274.0     -99.9  -99.9  -99.9       8.4  121.0
2016 01 14 00      1.8   4.9    6.4 149.0      1.5  132.0      0.9    8.8 274.0     -99.9  -99.9  -99.9       7.3  119.0
2016 01 14 01      1.8   4.9    6.4 148.0      1.5  132.0      0.8    8.6 275.0       0.3   13.3  261.0       8.3  126.0
2016 01 14 02      1.8   4.9    6.4 148.0      1.5  131.0      0.8    8.6 274.0       0.3   13.5  266.0       8.4  130.0
2016 01 14 03      1.8   4.9    6.3 148.0      1.5  131.0      0.8    8.6 274.0       0.4   13.5  266.0       8.1  133.0
2016 01 14 04      1.7   4.8    6.3 150.0      1.4  131.0      0.8    8.6 274.0       0.4   13.5  266.0       7.2  139.0
2016 01 14 05      1.6   4.8    6.2 154.0      1.4  131.0      0.7    8.2 273.0       0.5   12.8  267.0       6.3  142.0
2016 01 14 06      1.5   4.9    6.1 161.0      1.2  130.0      0.7    8.2 273.0       0.5   12.8  267.0       6.7  137.0
2016 01 14 07      1.5   4.8    5.9 171.0      1.1  130.0      0.8    9.8 265.0       0.5    8.2  283.0       6.4  145.0
2016 01 14 08      1.4   4.8   11.9 184.0    -99.9  -99.9      1.0    4.5 130.0       0.8    9.8  265.0       5.1  155.0
2016 01 14 09      1.4   4.9   12.1 201.0    -99.9  -99.9      1.0    4.4 129.0       0.9    9.3  270.0       4.5  162.0
2016 01 14 10      1.3   5.0   12.3 217.0    -99.9  -99.9      1.0    9.4 269.0       0.9    4.3  129.0       3.2  178.0
2016 01 14 11      1.3   5.2   12.4 231.0    -99.9  -99.9      1.0    9.5 269.0       0.8    4.2  129.0       2.7  204.0
